Gene_ID	MetStarve16h_Control_rep1	MetStarve16h_Control_rep2	MetStarve16h_Control_rep3	MetStarve16h_Starvation_rep1	MetStarve16h_Starvation_rep2	MetStarve16h_Starvation_rep3
ENSG00000025293.17	1134	1405	1225	1198	1142	1178
ENSG00000025423.11	30	34	28	4	4	10
ENSG00000025434.19	123	166	163	108	75	77
ENSG00000025708.14	118	148	146	144	130	85
ENSG00000025770.19	1168	1530	1454	1232	1115	820
ENSG00000025772.8	473	453	420	295	245	404
ENSG00000025796.14	1793	1139	1169	867	786	2234
ENSG00000025800.14	4328	4155	3977	4492	4237	6958
ENSG00000026025.16	10	20	12	11	15	12
ENSG00000026036.23	234	218	211	157	111	137
ENSG00000026103.25	394	448	439	344	322	334
ENSG00000026297.17	873	1105	1029	1345	1386	1296
ENSG00000026508.21	2124	1715	1651	735	592	983
ENSG00000026559.14	155	260	265	207	240	149
ENSG00000026652.15	5	4	7	2	1	1
ENSG00000026751.17	0	0	0	0	0	0
ENSG00000026950.17	17	17	10	19	10	7
ENSG00000027001.10	179	131	134	102	85	254
ENSG00000027075.17	1400	1576	1422	1858	1760	1787
ENSG00000027644.5	0	0	0	0	0	0
ENSG00000027697.16	456	536	472	1728	1608	1695
ENSG00000027847.14	610	763	722	1079	1108	839
ENSG00000027869.12	8	5	3	3	2	3
ENSG00000028116.18	1140	1061	992	1252	1150	1399
ENSG00000028137.19	0	0	0	0	0	1
ENSG00000028203.19	2778	3227	3090	4379	3987	3860
ENSG00000028277.22	3	3	2	2	2	4
ENSG00000028310.18	753	550	520	550	483	1143
ENSG00000028528.15	3041	2521	2504	1725	1555	2197
ENSG00000028839.10	481	638	535	572	553	541
ENSG00000029153.15	501	476	412	228	202	308
ENSG00000029363.17	4525	5013	4728	8126	7140	9584
ENSG00000029364.12	7225	6205	5955	9682	8561	15516
ENSG00000029534.22	21	22	24	8	6	13
ENSG00000029559.7	7	6	2	6	8	24
ENSG00000029639.11	216	201	206	130	135	180
ENSG00000029725.17	3630	4223	4069	3781	3790	3848
ENSG00000029993.15	2894	2537	2499	1076	1023	1867
ENSG00000030066.14	3707	2992	2914	2569	2317	5295
ENSG00000030110.14	487	975	851	1432	1514	736
ENSG00000030304.15	0	0	0	0	0	0
ENSG00000030419.17	1372	1120	1084	1129	1074	1987
ENSG00000030582.18	3136	3483	3232	3523	3191	3214
ENSG00000031003.11	1608	1559	1533	2079	2025	2436
ENSG00000031081.11	10	14	4	4	7	15
ENSG00000031691.7	494	545	498	216	179	179
ENSG00000031698.13	2712	3428	3324	8797	8979	7658
ENSG00000031823.14	460	359	300	268	249	561
ENSG00000032219.19	1822	1467	1335	1366	1238	2249
ENSG00000032389.13	1262	1189	1137	1016	1035	1282
ENSG00000032444.17	651	979	824	551	532	461
ENSG00000032742.18	365	324	279	176	155	216
ENSG00000033011.14	822	1086	1050	1352	1182	921
ENSG00000033030.15	1082	587	536	889	833	2098
ENSG00000033050.9	548	584	482	347	276	455
ENSG00000033100.17	1195	1049	1066	1164	1078	1471
ENSG00000033122.21	0	0	2	0	2	0
ENSG00000033170.17	5244	5534	5144	6795	6297	7466
ENSG00000033178.13	3842	4642	4120	4657	4193	4276
ENSG00000033327.13	807	791	639	429	327	447
ENSG00000033627.18	949	834	827	899	706	1153
ENSG00000033800.14	1863	1445	1432	1130	1001	2373
ENSG00000033867.17	2707	2948	2767	1546	1364	1552
ENSG00000034053.15	44	93	70	46	41	23
ENSG00000034152.19	540	380	326	349	337	756
ENSG00000034239.11	0	0	0	0	0	0
ENSG00000034510.6	10566	17238	16482	18265	18690	12698
ENSG00000034533.12	380	485	408	557	542	700
ENSG00000034677.13	1848	2223	2076	3228	3313	3153
ENSG00000034693.15	437	343	349	208	168	364
ENSG00000034713.8	1792	1548	1431	1659	1538	1937
ENSG00000034971.17	0	0	0	0	0	0
ENSG00000035115.22	2474	1753	1762	1320	1193	2319
ENSG00000035141.8	2405	2739	2538	2354	2056	2528
ENSG00000035403.18	1872	2169	1882	2838	2674	2757
ENSG00000035499.13	946	828	785	583	526	779
ENSG00000035664.11	246	273	224	184	211	198
ENSG00000035681.9	1352	1506	1351	1750	1515	1578
ENSG00000035687.10	968	1236	1178	822	741	850
ENSG00000035720.8	0	0	0	0	0	0
ENSG00000035862.12	445	377	387	158	152	155
ENSG00000035928.17	2279	2591	2332	1385	1316	1623
ENSG00000036054.13	1911	2294	2110	2288	2014	2133
ENSG00000036257.14	2097	2376	2126	2161	2157	2576
ENSG00000036448.10	0	0	0	0	0	0
ENSG00000036473.8	0	0	0	0	0	0
ENSG00000036530.9	52	27	30	4	7	15
ENSG00000036549.13	2951	3352	3133	5256	5107	5194
ENSG00000036565.15	0	0	0	0	0	0
ENSG00000036672.16	104	57	55	160	125	429
ENSG00000036828.17	0	0	0	0	1	0
ENSG00000037042.9	172	164	131	150	172	197
ENSG00000037241.7	595	1023	903	1188	1152	788
ENSG00000037280.16	24	27	17	7	12	6
ENSG00000037474.15	1727	887	758	659	526	2348
ENSG00000037637.11	810	858	726	1311	1115	1565
ENSG00000037749.13	1729	1985	1670	3329	2900	3405
ENSG00000037757.14	1323	1360	1361	1341	1221	1029
ENSG00000037897.17	404	328	303	349	307	544
ENSG00000037965.6	12	10	15	8	18	30
ENSG00000038002.9	439	526	544	760	762	651
